baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL001837 498.895672903913 -4.47709150620299 0.503198540367352 -8.8972664804126 5.72389537325575e-19 9.0618221578984e-18 1.71135693067966e-19 -4.37409201912475
AAEL001863 36468.057569893 -3.6377933821111 0.31951485744063 -11.3853653355918 4.94605198427615e-30 1.8166468472709e-28 8.46221414780561e-31 -3.58621127576461
AAEL001879 379.574105418138 -1.68285853058166 0.2512701873572 -6.69740627919915 2.12151200772161e-11 1.60994843205167e-10 1.84011908053796e-12 -1.63754625556573
AAEL001915 134.624885315426 -2.03344373879324 0.331474439484677 -6.13454160132078 8.54050935922652e-10 5.30426952242909e-09 1.02512947872368e-10 -1.95804414839641
AAEL001917 512.726672244172 -1.69887549765877 0.221106960196379 -7.68350076429026 1.54799041613089e-14 1.60541803626016e-13 1.22544501942465e-15 -1.66385462054078
AAEL001932 59.1728815323084 -1.32770044199793 0.359463723688726 -3.69355891708182 0.000221137244859064 0.000634852162549939 2.1612901927116e-05 -1.23471324570906
AAEL001939 865.926384844668 -1.5344699730987 0.204699617478459 -7.49620342236436 6.56928140930623e-14 6.44880856767175e-13 3.72954616203261e-15 -1.50404849663947
AAEL001958 128.09679963541 -1.9203719729174 0.42428167759458 -4.52617229149452 6.0061619305105e-06 2.24610134600576e-05 9.93342015051614e-07 -1.79357688037285
AAEL001960 473.444471322285 -1.55638892454186 0.275473322684144 -5.64987168041095 1.60567651039817e-08 8.7560349495765e-08 1.27293986015048e-09 -1.50135382890861
AAEL001976 105.139734750237 -3.75973028207669 0.473260684929619 -7.94431145835792 1.95272388601215e-15 2.18255290518043e-14 3.80315726335407e-16 -3.65166286085037
AAEL001984 242.15154772228 -1.13031096506665 0.226494917966646 -4.99044735843965 6.02396161096939e-07 2.62725720680093e-06 3.66639316907439e-08 -1.09397111501697
AAEL001986 140.11745622463 -1.5756678000541 0.417837884399252 -3.77100272350728 0.000162592898346033 0.000478400647659995 2.05769219545346e-05 -1.44900393341027
AAEL001997 496.074752826073 -1.65062186539471 0.264620547818952 -6.23769347845217 4.44069703968846e-10 2.85452884021331e-09 4.29591286752456e-11 -1.60010066947323
AAEL001998 3810.35990004828 -2.27882478607325 0.248938843655286 -9.15415510336675 5.47848215305315e-20 9.61715315602874e-19 6.73990128136338e-21 -2.23808310222567
AAEL002005 107.032118675283 -1.36804647042288 0.380337300303744 -3.59692953946494 0.000321995660390818 0.000898892001423104 3.32269156765989e-05 -1.26375554784963
AAEL002036 1162.79947303579 -2.21084095971537 0.256948494217554 -8.60421839189097 7.68385558822248e-18 1.09978638077472e-16 8.82653129901256e-19 -2.16730456428726
AAEL002056 177.579929051994 -1.42606927785222 0.300931800874102 -4.73884539191269 2.14939417132551e-06 8.5896612732215e-06 1.90762608917507e-07 -1.36031344100233
AAEL002080 144.423582369376 -1.60816074194686 0.334276790571199 -4.81086568768026 1.50277981250544e-06 6.1475951411506e-06 1.58469444028139e-07 -1.52730824933074
